pais,capital
Afganistán,Kabul
Albania,Tirana
Alemania,Berlín
Andorra,Andorra la Vieja
Angola,Luanda
Antigua y Barbuda,Saint John's
Arabia Saudita,Riad
Argelia,Argel
Argentina,Buenos Aires
Armenia,Ereván
Australia,Canberra
Austria,Viena
Azerbaiyán,Bakú
Bahamas,Nasáu
Baréin,Manama
Bangladesh,Daca
Barbados,Bridgetown
Bélgica,Bruselas
Belice,Belmopán
Benín,Porto-Novo
Bielorrusia,Minsk
Bolivia,La Paz
Bosnia y Herzegovina,Sarajevo
Botsuana,Gaborone
Brasil,Brasilia
Brunéi,Bandar Seri Begawan
Bulgaria,Sofía
Burkina Faso,Uagadugú
Burundi,Buyumbura
Bután,Timbu
Cabo Verde,Praia
Camboya,Phnom Penh
Camerún,Yaundé
Canadá,Ottawa
República Centroafricana,Bangui
Chad,Yamena
República Checa,Praga
Chile,Santiago de Chile
China,Pekín
Chipre,Nicosia
Colombia,Bogotá
Comoras,Moroni
República del Congo,Brazzaville
República Democrática del Congo,Kinsasa
Corea del Norte,Pionyang
Corea del Sur,Seúl
Costa de Marfil,Yamusukro
Costa Rica,San José
Croacia,Zagreb
Cuba,La Habana
Dinamarca,Copenhague
Dominica,Roseau
República Dominicana,Santo Domingo
Ecuador,Quito
Egipto,El Cairo
El Salvador,San Salvador
Emiratos Árabes Unidos,Abu Dabi
Eritrea,Asmara
Eslovaquia,Bratislava
Eslovenia,Liubliana
España,Madrid
Estados Unidos,Washington D. C.
Estonia,Tallin
Etiopía,Adís Abeba
Filipinas,Manila
Finlandia,Helsinki
Fiyi,Suva
Francia,París
Gabón,Libreville
Gambia,Banjul
Georgia,Tiflis
Ghana,Acra
Granada,Saint George's
Grecia,Atenas
Guatemala,Ciudad de Guatemala
Guinea,Conakry
Guinea-Bissau,Bissau
Guinea Ecuatorial,Malabo
Guyana,Georgetown
Haití,Puerto Príncipe
Honduras,Tegucigalpa
Hungría,Budapest
India,Nueva Delhi
Indonesia,Yakarta
Irán,Teherán
Iraq,Bagdad
Irlanda,Dublín
Islandia,Reikiavik
Israel,Jerusalén
Italia,Roma
Jamaica,Kingston
Japón,Tokio
Jordania,Amán
Kazajistán,Astaná
Kenia,Nairobi
Kirguistán,Biskek
Kiribati,Tarawa
Kuwait,Ciudad de Kuwait
Laos,Vientián
Lesoto,Maseru
Letonia,Riga
Líbano,Beirut
Libia,Trípoli
Liechtenstein,Vaduz
Lituania,Vilna
Luxemburgo,Luxemburgo
República de Macedonia,Skopie
Madagascar,Antananarivo
Malaui,Lilongüe
Malasia,Kuala Lumpur
Maldivas,Malé
Malí,Bamako
Malta,La Valeta
Marruecos,Rabat
Islas Marshall,Majuro
Mauricio,Port Louis
Mauritania,Nuakchot
México,Ciudad de México
Micronesia,Palikir
Moldavia,Chisinau
Mónaco,Mónaco
Mongolia,Ulán Bator
Montenegro,Podgorica
Mozambique,Maputo
Birmania,Naipyidó
Namibia,Windhoek
Nauru,Yaren
Nepal,Katmandú
Nicaragua,Managua
Níger,Niamey
Nigeria,Abuya
Noruega,Oslo
Nueva Zelanda,Wellington
Omán,Mascate
Países Bajos,Ámsterdam
Pakistán,Islamabad
Palaos,Melekeok
Panamá,Panamá
Papúa Nueva Guinea,Port Moresby
Paraguay,Asunción
Perú,Lima
Polonia,Varsovia
Portugal,Lisboa
Qatar,Doha
Reino Unido,Londres
Ruanda,Kigali
Rumania,Bucarest
Rusia,Moscú
Islas Salomón,Honiara
Samoa,Apia
San Cristóbal y Nieves,Basseterre
San Marino,Ciudad de San Marino
Santa Lucía,Castries
Santo Tomé y Príncipe,Santo Tomé
San Vicente y las Granadinas,Kingstown
Senegal,Dakar
Serbia,Belgrado
Seychelles,Victoria
Sierra Leona,Freetown
Singapur,Singapur
Siria,Damasco
Somalia,Mogadiscio
Sri Lanka,Sri Jayawardenapura Kotte
Suazilandia,Mbabane
Sudáfrica,Ciudad del Cabo
Sudán,Jartum
Suecia,Estocolmo
Suiza,Berna
Surinam,Paramaribo
Tailandia,Bangkok
Tanzania,Dodoma
Tayikistán,Dusambé
Timor Oriental,Dili
Togo,Lomé
Tonga,Nukualofa
Trinidad y Tobago,Puerto España
Túnez,Túnez
Turkmenistán,Asjabad
Turquía,Ankara
Tuvalu,Funafuti
Ucrania,Kiev
Uruguay,Montevideo
Uzbekistán,Taskent
Vanuatu,Port Vila
Ciudad del Vaticano,Ciudad del Vaticano
Venezuela,Caracas
Vietnam,Hanói
Yemen,Saná
Yibuti,Yibuti
Zambia,Lusaka
Zimbabue,Harare
